

          Mac Address Table
------------------------------------------------------------------

Vlan    Mac Address       Type        Ports      Moves   Last Move
 101    0025.9092.4334    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0025.9092.4344    DYNAMIC     Et7        1       122 days, 9:53:41 ago
 101    0025.9092.4452    DYNAMIC     Et7        1       68 days, 3:27:02 ago
 101    0025.9092.44d8    DYNAMIC     Et7        1       122 days, 9:53:41 ago
 101    0025.9092.895e    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0025.909d.2a59    DYNAMIC     Et7        1       0:05:42 ago
 101    0025.90c9.9728    DYNAMIC     Et7        1       122 days, 10:15:16 ago
 101    0025.90c9.c91a    DYNAMIC     Et7        1       47 days, 4:03:52 ago
 101    0025.90c9.c940    DYNAMIC     Et7        1       122 days, 9:16:52 ago
 101    0025.90c9.ca44    DYNAMIC     Et7        1       36 days, 3:59:21 ago
 101    0025.90c9.ca52    DYNAMIC     Et7        1       36 days, 3:59:28 ago
 101    0025.90c9.cb38    DYNAMIC     Et7        1       61 days, 3:49:46 ago
 101    0025.90ce.1e76    DYNAMIC     Et7        1       0:04:09 ago
 101    0025.90ce.31da    DYNAMIC     Et7        1       0:00:52 ago
 101    0025.90ce.328a    DYNAMIC     Et7        1       0:04:15 ago
 101    0025.90ce.3349    DYNAMIC     Et7        1       0:03:48 ago
 101    0025.90e4.97b2    DYNAMIC     Et7        1       122 days, 8:08:48 ago
 101    0025.90e4.97b8    DYNAMIC     Et7        1       122 days, 6:33:49 ago
 101    0025.90e4.9b6c    DYNAMIC     Et7        1       122 days, 6:33:49 ago
 101    0025.90e4.c3ee    DYNAMIC     Et7        1       122 days, 6:33:49 ago
 101    0025.90e6.dc30    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0025.90e6.dc8a    DYNAMIC     Et7        1       122 days, 9:19:31 ago
 101    0025.90e6.dd5a    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0025.90e7.3020    DYNAMIC     Et7        1       92 days, 0:10:48 ago
 101    0025.90e7.4dda    DYNAMIC     Et7        1       61 days, 4:19:49 ago
 101    0025.90e7.4f4a    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0025.90e7.520e    DYNAMIC     Et7        1       61 days, 4:15:57 ago
 101    0025.90e7.521e    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0025.90e7.fe22    DYNAMIC     Et7        1       122 days, 8:08:49 ago
 101    0025.90e7.fe32    DYNAMIC     Et7        1       122 days, 9:19:30 ago
 101    0025.90e9.480e    DYNAMIC     Et7        1       122 days, 9:19:31 ago
 101    0025.90e9.cf78    DYNAMIC     Et7        1       68 days, 3:12:14 ago
 101    0025.90ea.7fb4    DYNAMIC     Et7        1       12 days, 3:55:12 ago
 101    0025.90eb.322a    DYNAMIC     Et7        1       61 days, 4:11:29 ago
 101    0025.90ed.f3ac    DYNAMIC     Et7        1       0:04:06 ago
 101    0025.90ee.1312    DYNAMIC     Et7        1       0:01:12 ago
 101    0025.90ee.39c2    DYNAMIC     Et7        1       0:06:04 ago
 101    0025.90fc.c60c    DYNAMIC     Et7        1       122 days, 8:42:47 ago
 101    0030.48da.4532    DYNAMIC     Et7        1       122 days, 8:08:49 ago
 101    00a0.690c.303c    DYNAMIC     Et7        1       122 days, 7:49:59 ago
 101    00a0.690c.303d    DYNAMIC     Et7        1       122 days, 8:12:14 ago
 101    00a0.9819.6c92    DYNAMIC     Et7        1       122 days, 10:33:23 ago
 101    00a0.9819.6c93    DYNAMIC     Et7        1       122 days, 10:33:23 ago
 101    00a0.9819.97aa    DYNAMIC     Et7        1       122 days, 7:51:36 ago
 101    00a0.9819.97ab    DYNAMIC     Et7        1       122 days, 7:51:36 ago
 101    00e0.4b4f.1ef9    DYNAMIC     Et7        1       4 days, 2:59:13 ago
 101    00e0.4b4f.1f02    DYNAMIC     Et7        1       4 days, 2:59:12 ago
 101    00e0.4b4f.1f12    DYNAMIC     Et7        1       4 days, 2:59:13 ago
 101    02a0.981b.6868    DYNAMIC     Et7        1       0:50:54 ago
 101    02a0.981b.6a18    DYNAMIC     Et7        1       0:44:59 ago
 101    047d.7b67.4868    DYNAMIC     Et7        1       122 days, 6:48:23 ago
 101    047d.7b67.486a    DYNAMIC     Et7        1       122 days, 5:22:47 ago
 101    047d.7b67.4871    DYNAMIC     Et7        1       122 days, 6:48:26 ago
 101    047d.7b67.4873    DYNAMIC     Et7        1       122 days, 5:22:47 ago
 101    047d.7b6e.1235    DYNAMIC     Et7        1       122 days, 6:48:26 ago
 101    047d.7b6e.1237    DYNAMIC     Et7        1       122 days, 5:22:47 ago
 101    047d.7b6e.12da    DYNAMIC     Et7        1       122 days, 6:48:26 ago
 101    047d.7b6e.12dc    DYNAMIC     Et7        1       122 days, 5:22:47 ago
 101    047d.7b87.0484    DYNAMIC     Et7        1       122 days, 10:33:24 ago
 101    047d.7b87.0486    DYNAMIC     Et7        1       19 days, 2:30:01 ago
 101    047d.7b87.0a0c    DYNAMIC     Et7        1       122 days, 9:36:43 ago
 101    047d.7b87.0a0e    DYNAMIC     Et7        1       122 days, 9:34:43 ago
 101    047d.7b87.0be3    DYNAMIC     Et7        1       76 days, 3:37:28 ago
 101    047d.7b87.0be5    DYNAMIC     Et7        1       122 days, 10:32:53 ago
 101    047d.7b87.0c64    DYNAMIC     Et7        1       122 days, 9:36:42 ago
 101    047d.7b87.0c66    DYNAMIC     Et7        1       19 days, 2:50:28 ago
 101    047d.7b87.0d72    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    047d.7b87.0d74    DYNAMIC     Et7        1       19 days, 2:30:08 ago
 101    047d.7b87.1074    DYNAMIC     Et7        1       91 days, 23:58:52 ago
 101    047d.7b87.1110    DYNAMIC     Et7        1       122 days, 9:36:41 ago
 101    047d.7b87.1112    DYNAMIC     Et7        1       19 days, 2:49:40 ago
 101    047d.7ba5.8c70    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    047d.7ba5.8c72    DYNAMIC     Et7        1       19 days, 2:30:12 ago
 101    0862.66a0.79a9    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    0862.66a0.79ac    DYNAMIC     Et7        1       122 days, 10:32:50 ago
 101    0862.66a1.a769    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    0862.66a1.a76c    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    0862.66a4.65f4    DYNAMIC     Et7        1       122 days, 8:42:47 ago
 101    0862.66a4.65f6    DYNAMIC     Et7        1       122 days, 8:42:44 ago
 101    0862.66a4.65f7    DYNAMIC     Et7        1       122 days, 8:42:38 ago
 101    089e.01fc.4826    DYNAMIC     Et7        1       55 days, 3:54:59 ago
 101    089e.01fc.4828    DYNAMIC     Et7        1       55 days, 3:56:18 ago
 101    089e.01fc.4832    DYNAMIC     Et7        1       55 days, 2:48:29 ago
 101    089e.01fc.4834    DYNAMIC     Et7        1       122 days, 9:15:41 ago
 101    089e.01fc.483b    DYNAMIC     Et7        1       55 days, 3:04:48 ago
 101    089e.01fc.483d    DYNAMIC     Et7        1       55 days, 3:06:07 ago
 101    089e.01fc.4859    DYNAMIC     Et7        1       54 days, 3:46:55 ago
 101    089e.01fc.485b    DYNAMIC     Et7        1       54 days, 3:48:10 ago
 101    089e.01fc.485f    DYNAMIC     Et7        1       55 days, 3:36:31 ago
 101    089e.01fc.4861    DYNAMIC     Et7        1       55 days, 3:37:46 ago
 101    089e.01fc.4862    DYNAMIC     Et7        1       36 days, 4:09:53 ago
 101    089e.01fc.4864    DYNAMIC     Et7        1       36 days, 4:11:07 ago
 101    089e.01fc.486b    DYNAMIC     Et7        1       54 days, 4:03:58 ago
 101    089e.01fc.486d    DYNAMIC     Et7        1       54 days, 4:05:17 ago
 101    089e.01fc.4874    DYNAMIC     Et7        1       55 days, 3:04:48 ago
 101    089e.01fc.4876    DYNAMIC     Et7        1       55 days, 3:06:07 ago
 101    089e.01fc.4889    DYNAMIC     Et7        1       54 days, 2:51:50 ago
 101    089e.01fc.488b    DYNAMIC     Et7        1       54 days, 2:53:05 ago
 101    089e.01fc.488c    DYNAMIC     Et7        1       55 days, 2:45:05 ago
 101    089e.01fc.488e    DYNAMIC     Et7        1       122 days, 9:15:03 ago
 101    089e.01fc.489e    DYNAMIC     Et7        1       54 days, 3:26:04 ago
 101    089e.01fc.48a0    DYNAMIC     Et7        1       122 days, 9:18:46 ago
 101    089e.01fc.48ad    DYNAMIC     Et7        1       55 days, 3:36:26 ago
 101    089e.01fc.48af    DYNAMIC     Et7        1       55 days, 3:37:46 ago
 101    089e.01fc.48c8    DYNAMIC     Et7        1       122 days, 9:16:52 ago
 101    089e.01fc.48ca    DYNAMIC     Et7        1       122 days, 9:16:27 ago
 101    089e.01fc.48d7    DYNAMIC     Et7        1       55 days, 2:44:58 ago
 101    089e.01fc.48d9    DYNAMIC     Et7        1       122 days, 9:15:05 ago
 101    089e.01fc.48e6    DYNAMIC     Et7        1       54 days, 3:40:32 ago
 101    089e.01fc.48e8    DYNAMIC     Et7        1       54 days, 3:41:24 ago
 101    089e.01fc.48e9    DYNAMIC     Et7        1       122 days, 9:16:53 ago
 101    089e.01fc.48eb    DYNAMIC     Et7        1       122 days, 9:16:17 ago
 101    089e.01fc.48ec    DYNAMIC     Et7        1       54 days, 4:05:06 ago
 101    089e.01fc.48ee    DYNAMIC     Et7        1       122 days, 9:18:39 ago
 101    089e.01fc.48ef    DYNAMIC     Et7        1       54 days, 3:03:20 ago
 101    089e.01fc.48f1    DYNAMIC     Et7        1       122 days, 9:15:57 ago
 101    089e.01fc.4931    DYNAMIC     Et7        1       54 days, 4:15:56 ago
 101    089e.01fc.4933    DYNAMIC     Et7        1       54 days, 4:17:16 ago
 101    089e.01fc.4a81    DYNAMIC     Et7        1       54 days, 3:36:09 ago
 101    089e.01fc.4a83    DYNAMIC     Et7        1       122 days, 9:18:48 ago
 101    089e.01fc.4a93    DYNAMIC     Et7        1       55 days, 3:55:20 ago
 101    089e.01fc.4a95    DYNAMIC     Et7        1       55 days, 3:56:19 ago
 101    089e.01fc.4a96    DYNAMIC     Et7        1       54 days, 2:51:55 ago
 101    089e.01fc.4a98    DYNAMIC     Et7        1       54 days, 2:53:09 ago
 101    089e.01fc.4b7a    DYNAMIC     Et7        1       54 days, 3:39:41 ago
 101    089e.01fc.4b7c    DYNAMIC     Et7        1       54 days, 3:41:04 ago
 101    089e.01fc.4b8f    DYNAMIC     Et7        1       54 days, 4:16:01 ago
 101    089e.01fc.4b91    DYNAMIC     Et7        1       54 days, 4:17:16 ago
 101    089e.01fc.4b92    DYNAMIC     Et7        1       55 days, 3:55:04 ago
 101    089e.01fc.4b94    DYNAMIC     Et7        1       55 days, 3:56:19 ago
 101    089e.01fc.4bbf    DYNAMIC     Et7        1       54 days, 3:20:15 ago
 101    089e.01fc.4bc1    DYNAMIC     Et7        1       54 days, 3:21:29 ago
 101    089e.01fc.4bfb    DYNAMIC     Et7        1       54 days, 4:04:47 ago
 101    089e.01fc.4bfd    DYNAMIC     Et7        1       54 days, 4:06:02 ago
 101    089e.01fc.4c25    DYNAMIC     Et7        1       54 days, 3:03:24 ago
 101    089e.01fc.4c27    DYNAMIC     Et7        1       54 days, 3:04:39 ago
 101    089e.01fc.4c28    DYNAMIC     Et7        1       54 days, 4:15:56 ago
 101    089e.01fc.4c2a    DYNAMIC     Et7        1       54 days, 4:17:16 ago
 101    089e.01fc.4c34    DYNAMIC     Et7        1       55 days, 3:55:04 ago
 101    089e.01fc.4c36    DYNAMIC     Et7        1       55 days, 3:56:19 ago
 101    089e.01fc.4c43    DYNAMIC     Et7        1       122 days, 9:16:53 ago
 101    089e.01fc.4c45    DYNAMIC     Et7        1       122 days, 9:16:31 ago
 101    089e.01fc.4c5b    DYNAMIC     Et7        1       55 days, 3:04:53 ago
 101    089e.01fc.4c5d    DYNAMIC     Et7        1       55 days, 3:06:07 ago
 101    089e.01fc.4c85    DYNAMIC     Et7        1       122 days, 9:16:50 ago
 101    089e.01fc.4c87    DYNAMIC     Et7        1       122 days, 9:15:15 ago
 101    089e.01fc.4ca9    DYNAMIC     Et7        1       54 days, 4:04:14 ago
 101    089e.01fc.4cab    DYNAMIC     Et7        1       54 days, 4:05:28 ago
 101    089e.01fc.4cac    DYNAMIC     Et7        1       55 days, 2:45:15 ago
 101    089e.01fc.4cae    DYNAMIC     Et7        1       122 days, 9:16:13 ago
 101    089e.01fc.4caf    DYNAMIC     Et7        1       54 days, 3:28:13 ago
 101    089e.01fc.4cb1    DYNAMIC     Et7        1       54 days, 3:29:28 ago
 101    089e.01fc.4cb2    DYNAMIC     Et7        1       54 days, 3:20:31 ago
 101    089e.01fc.4cb4    DYNAMIC     Et7        1       54 days, 3:21:45 ago
 101    089e.01fc.4fb8    DYNAMIC     Et7        1       55 days, 3:04:47 ago
 101    089e.01fc.4fba    DYNAMIC     Et7        1       55 days, 3:06:07 ago
 101    089e.01ff.4b91    DYNAMIC     Et7        1       55 days, 3:23:51 ago
 101    089e.01ff.4b93    DYNAMIC     Et7        1       55 days, 3:25:05 ago
 101    089e.01ff.4bc4    DYNAMIC     Et7        1       55 days, 4:09:07 ago
 101    089e.01ff.4bc6    DYNAMIC     Et7        1       55 days, 4:10:40 ago
 101    089e.01ff.4bd3    DYNAMIC     Et7        1       54 days, 2:59:00 ago
 101    089e.01ff.4bd5    DYNAMIC     Et7        1       122 days, 9:16:30 ago
 101    089e.01ff.4bd6    DYNAMIC     Et7        1       55 days, 3:36:31 ago
 101    089e.01ff.4bd8    DYNAMIC     Et7        1       55 days, 3:37:46 ago
 101    089e.01ff.4c66    DYNAMIC     Et7        1       54 days, 4:00:44 ago
 101    089e.01ff.4c68    DYNAMIC     Et7        1       122 days, 9:19:01 ago
 101    089e.01ff.4c84    DYNAMIC     Et7        1       122 days, 9:19:31 ago
 101    089e.01ff.4c86    DYNAMIC     Et7        1       122 days, 9:18:35 ago
 101    089e.01ff.4c99    DYNAMIC     Et7        1       55 days, 3:36:31 ago
 101    089e.01ff.4c9b    DYNAMIC     Et7        1       55 days, 3:37:46 ago
 101    089e.01ff.4ca8    DYNAMIC     Et7        1       54 days, 3:55:37 ago
 101    089e.01ff.4caa    DYNAMIC     Et7        1       54 days, 3:56:52 ago
 101    089e.01ff.4ce4    DYNAMIC     Et7        1       54 days, 3:03:18 ago
 101    089e.01ff.4ce6    DYNAMIC     Et7        1       54 days, 3:04:38 ago
 101    089e.01ff.4d11    DYNAMIC     Et7        1       54 days, 3:03:38 ago
 101    089e.01ff.4d13    DYNAMIC     Et7        1       122 days, 9:15:56 ago
 101    089e.01ff.4d2f    DYNAMIC     Et7        1       55 days, 3:23:46 ago
 101    089e.01ff.4d31    DYNAMIC     Et7        1       55 days, 3:25:05 ago
 101    089e.01ff.4d44    DYNAMIC     Et7        1       54 days, 3:55:09 ago
 101    089e.01ff.4d46    DYNAMIC     Et7        1       54 days, 3:56:28 ago
 101    089e.01ff.4d47    DYNAMIC     Et7        1       54 days, 2:57:16 ago
 101    089e.01ff.4d49    DYNAMIC     Et7        1       122 days, 9:15:59 ago
 101    089e.01ff.4d83    DYNAMIC     Et7        1       34 days, 4:25:55 ago
 101    089e.01ff.4d85    DYNAMIC     Et7        1       55 days, 4:10:40 ago
 101    089e.01ff.4d89    DYNAMIC     Et7        1       55 days, 4:08:29 ago
 101    089e.01ff.4d8b    DYNAMIC     Et7        1       55 days, 4:10:04 ago
 101    089e.01ff.4d98    DYNAMIC     Et7        1       55 days, 3:23:51 ago
 101    089e.01ff.4d9a    DYNAMIC     Et7        1       55 days, 3:25:05 ago
 101    089e.01ff.4dad    DYNAMIC     Et7        1       55 days, 4:08:28 ago
 101    089e.01ff.4daf    DYNAMIC     Et7        1       55 days, 4:10:11 ago
 101    089e.01ff.4db9    DYNAMIC     Et7        1       55 days, 3:23:51 ago
 101    089e.01ff.4dbb    DYNAMIC     Et7        1       55 days, 3:25:05 ago
 101    0cc4.7a07.dc16    DYNAMIC     Et7        1       55 days, 2:44:44 ago
 101    0cc4.7a07.dc7a    DYNAMIC     Et7        1       55 days, 2:44:41 ago
 101    0cc4.7a07.dc94    DYNAMIC     Et7        1       55 days, 2:44:36 ago
 101    0cc4.7a15.b74a    DYNAMIC     Et7        1       122 days, 8:12:15 ago
 101    0cc4.7a17.873c    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a18.8e6c    DYNAMIC     Et7        1       3:01:48 ago
 101    0cc4.7a1c.ebd0    DYNAMIC     Et7        1       0:02:21 ago
 101    0cc4.7a1c.ec71    DYNAMIC     Et7        1       0:02:38 ago
 101    0cc4.7a1d.5c04    DYNAMIC     Et7        1       122 days, 9:53:40 ago
 101    0cc4.7a1d.5c14    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a1d.5dc6    DYNAMIC     Et7        1       122 days, 9:53:40 ago
 101    0cc4.7a1d.5dea    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a1d.5f4e    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a1d.6072    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a1d.6116    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a1d.6132    DYNAMIC     Et7        1       122 days, 9:53:39 ago
 101    0cc4.7a44.2ae0    DYNAMIC     Et7        1       0:04:11 ago
 101    0cc4.7a54.64b0    DYNAMIC     Et7        1       81 days, 3:46:50 ago
 101    0cc4.7a54.6a2c    DYNAMIC     Et7        1       122 days, 7:22:15 ago
 101    0cc4.7a56.90a6    DYNAMIC     Et7        1       92 days, 0:06:06 ago
 101    0cc4.7a56.94d0    DYNAMIC     Et7        1       122 days, 10:15:19 ago
 101    0cc4.7a57.fc8a    DYNAMIC     Et7        1       0:37:08 ago
 101    0cc4.7a57.fd66    DYNAMIC     Et7        1       0:31:58 ago
 101    0cc4.7a5b.e7ff    DYNAMIC     Et7        1       0:00:20 ago
 101    0cc4.7a5e.6264    DYNAMIC     Et7        1       0:05:11 ago
 101    0cc4.7aaa.28ac    DYNAMIC     Et7        1       122 days, 8:42:47 ago
 101    0cc4.7aaa.28b0    DYNAMIC     Et7        1       122 days, 8:42:47 ago
 101    0cc4.7aaa.7550    DYNAMIC     Et7        1       122 days, 7:22:16 ago
 101    0cc4.7ab0.0bce    DYNAMIC     Et7        1       18 days, 2:19:14 ago
 101    0cc4.7ab0.0ff4    DYNAMIC     Et7        1       122 days, 6:48:26 ago
 101    0cc4.7ab0.0ff6    DYNAMIC     Et7        1       122 days, 6:48:26 ago
 101    0cc4.7ab2.426c    DYNAMIC     Et7        1       36 days, 2:27:24 ago
 101    0cc4.7ab4.cff2    DYNAMIC     Et7        1       122 days, 8:12:16 ago
 101    14dd.a94d.3b78    DYNAMIC     Et7        1       122 days, 8:12:16 ago
 101    14dd.a94d.3b7b    DYNAMIC     Et7        1       122 days, 8:12:15 ago
 101    14dd.a94d.3be8    DYNAMIC     Et7        1       122 days, 8:12:16 ago
 101    14dd.a94d.3beb    DYNAMIC     Et7        1       122 days, 8:12:15 ago
 101    14dd.a94d.3c60    DYNAMIC     Et7        1       122 days, 10:09:25 ago
 101    14dd.a94d.3c63    DYNAMIC     Et7        1       122 days, 10:07:54 ago
 101    14dd.a94d.3c88    DYNAMIC     Et7        1       122 days, 6:33:49 ago
 101    14dd.a94d.3c8b    DYNAMIC     Et7        1       122 days, 6:33:49 ago
 101    14dd.a9d3.dec8    DYNAMIC     Et7        1       6 days, 4:30:38 ago
 101    14dd.a9d3.decb    DYNAMIC     Et7        1       6 days, 4:32:23 ago
 101    14dd.a9d3.df10    DYNAMIC     Et7        1       122 days, 10:33:24 ago
 101    14dd.a9d3.df13    DYNAMIC     Et7        1       122 days, 9:31:46 ago
 101    14dd.a9d3.df54    DYNAMIC     Et7        1       122 days, 9:36:41 ago
 101    14dd.a9d3.df57    DYNAMIC     Et7        1       122 days, 9:35:02 ago
 101    14dd.a9d3.e7c4    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    14dd.a9d3.e7c7    DYNAMIC     Et7        1       122 days, 10:33:01 ago
 101    14dd.a9d3.e8bc    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    14dd.a9d3.e8bf    DYNAMIC     Et7        1       122 days, 10:31:18 ago
 101    14dd.a9d5.5c13    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    14dd.a9d5.5c16    DYNAMIC     Et7        1       122 days, 10:32:11 ago
 101    14dd.a9d6.bd8f    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    14dd.a9d6.bd92    DYNAMIC     Et7        1       122 days, 10:33:21 ago
 101    1c1b.0d9a.da4e    DYNAMIC     Et7        1       5 days, 3:14:43 ago
 101    1c87.2ccb.22f2    DYNAMIC     Et7        1       122 days, 6:48:27 ago
 101    1c87.2ccb.22f4    DYNAMIC     Et7        1       122 days, 6:47:24 ago
 101    2c56.dc72.4f49    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.4f4b    DYNAMIC     Et7        1       19 days, 2:25:16 ago
 101    2c56.dc72.4f4c    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.4f55    DYNAMIC     Et7        1       122 days, 9:36:42 ago
 101    2c56.dc72.4f58    DYNAMIC     Et7        1       122 days, 9:36:32 ago
 101    2c56.dc72.4f8d    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    2c56.dc72.4f90    DYNAMIC     Et7        1       122 days, 10:32:11 ago
 101    2c56.dc72.4f9d    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.4fa0    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.4fb5    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.4fb8    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.4fe1    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.4fe4    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.4ff9    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.4ffc    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.5029    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.502c    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.5031    DYNAMIC     Et7        1       19 days, 2:25:10 ago
 101    2c56.dc72.5034    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5039    DYNAMIC     Et7        1       122 days, 9:36:43 ago
 101    2c56.dc72.503c    DYNAMIC     Et7        1       122 days, 9:36:16 ago
 101    2c56.dc72.5041    DYNAMIC     Et7        1       122 days, 10:33:25 ago
 101    2c56.dc72.5044    DYNAMIC     Et7        1       122 days, 10:32:54 ago
 101    2c56.dc72.5045    DYNAMIC     Et7        1       122 days, 10:09:25 ago
 101    2c56.dc72.5048    DYNAMIC     Et7        1       122 days, 10:07:47 ago
 101    2c56.dc72.5051    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5054    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5055    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5058    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.506d    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.5070    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.5075    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5078    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.50b9    DYNAMIC     Et7        1       55 days, 4:32:00 ago
 101    2c56.dc72.50bc    DYNAMIC     Et7        1       19 days, 2:31:48 ago
 101    2c56.dc72.5161    DYNAMIC     Et7        1       122 days, 10:09:25 ago
 101    2c56.dc72.5164    DYNAMIC     Et7        1       122 days, 10:07:31 ago
 101    2c56.dc72.516d    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5170    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5179    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.517c    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.5189    DYNAMIC     Et7        1       122 days, 10:09:25 ago
 101    2c56.dc72.518c    DYNAMIC     Et7        1       19 days, 2:32:08 ago
 101    2c56.dc72.519d    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.51a0    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.51ad    DYNAMIC     Et7        1       122 days, 10:09:25 ago
 101    2c56.dc72.51b0    DYNAMIC     Et7        1       122 days, 10:08:26 ago
 101    2c56.dc72.51d9    DYNAMIC     Et7        1       122 days, 9:36:43 ago
 101    2c56.dc72.51dc    DYNAMIC     Et7        1       122 days, 9:36:11 ago
 101    2c56.dc72.51dd    DYNAMIC     Et7        1       19 days, 2:25:17 ago
 101    2c56.dc72.51e0    DYNAMIC     Et7        1       19 days, 2:25:18 ago
 101    2c56.dc72.ad9b    DYNAMIC     Et7        1       122 days, 8:45:38 ago
 101    2c56.dc72.ad9e    DYNAMIC     Et7        1       122 days, 8:45:09 ago
